"","Tr","Plant","Dir","Leaf","Temp","Vcmax","Jmax","A275"
"1","G26","1","down","1","10","2.93621533071704","8.13943053429762","1.43737216724546"
"2","G26","1","down","1","15","10.1584716706054","24.2826699918804","4.11333270027166"
"3","G26","1","down","1","20","24.0572790771447","46.904033228603","7.37288861202173"
"4","G26","1","down","1","25","43.8665684729437","75.6394405200007","9.49240412476706"
"5","G26","1","up","2","25","39.3980314962196","68.5589149735629","8.44102764151022"
"6","G26","1","up","2","30","49.9909629395358","83.378985244843","6.74476753807752"
"7","G26","1","up","2","35","52.5990975206692","84.0613149893006","3.64076796616851"
"8","G26","1","up","2","40","43.1910597764462","60.2469064237008","0.288385460454201"
"9","G26","2","down","3","10","1.267148341277",NA,"0.53413491584523"
"10","G26","2","down","3","15","6.16056492581477","14.0644555702222","2.3631238761751"
"11","G26","2","down","3","20","14.6278377551419","29.4570337672512","4.29089678264424"
"12","G26","2","down","3","25","33.1471202475968","51.9443905491472","6.95759586731841"
"13","G26","2","up","4","25","40.9728921222476","70.0646348003299","8.81235837768822"
"14","G26","2","up","4","30","61.3565543425758","93.6542766124077","8.567915754751"
"15","G26","2","up","4","35","78.0416578325899","99.8821462519848","6.2950972725726"
"16","G26","2","up","4","40","59.6154370639656","68.4896214768736","1.35998569076004"
"17","G26","3","down","5","10","1.89608702712422",NA,"0.875938309142921"
"18","G26","3","down","5","15","4.90552887777053","13.7715056529957","1.83900967324782"
"19","G26","3","down","5","20","12.7906357024355","30.2571539221706","3.69146136846963"
"20","G26","3","down","5","25","29.4911572665121","42.0727977729109","5.79434545723326"
"21","G26","3","up","6","25","40.6698946351369","67.3007078166168","8.73774687204051"
"22","G26","3","up","6","30","48.8677346578868","64.3851872117742","6.55743463049264"
"23","G26","3","up","6","35","51.8899303362582","64.3373395113181","3.55951385825551"
"24","G26","3","up","6","40","23.922717988338","23.1742098827442","-0.966610042012566"
"25","G26","4","up","7","25","29.9576811659276","55.31381561299","6.21988914264036"
"26","G26","4","up","7","30","38.843226291107","65.9736111574081","4.95808916741447"
"27","G26","4","up","7","35","44.3764018139633","66.3208460231265","2.77138353112795"
