Species,Gro_Temp,Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF
ALRU,21,1,7/24/2019,20,0,0,3.016758
ALRU,21,2,7/24/2019,20,0,0,1.35432
ALRU,21,3,8/9/2019,19.9,0,0,3.209088
ALRU,21,4,8/17/2019,25.2,0,0,17.78246
ALRU,21,5,9/18/2019,29.7,0,0,2.54115
ALRU,21,6,10/22/2019,33.7,0,0,9.461964
ALRU,26,1,12/5/2019,20.4,0,0,0.08252962
ALRU,26,2,1/30/2020,25.7,0,0,1.424657
ALRU,26,3,2/11/2020,29.6,0,0,0.588791
ALRU,26,4,3/2/2020,34.7,0,0,4.926528
ALRU,31,1,1/30/2019,31,0,0,2.249265
ALRU,31,2,2/1/2019,31,0,0,1.702058
ALRU,31,3,2/10/2019,31,0,0,1.728706
ALRU,31,4,3/18/2019,20.3,0,0,-0.2918224
ALRU,31,5,3/22/2019,24.7,0,0,2.048039
ALRU,31,6,4/9/2019,33.8,0,0,1.584601
ALRU,31,7,4/15/2019,39.7,0,0,0.8158208
GLSE,21,1,7/10/2019,19.9,0,0,1.790407
GLSE,21,2,7/13/2019,20.4,0,0,2.259561
GLSE,21,3,7/22/2019,20.4,0,0,-0.04558907
GLSE,21,4,8/17/2019,25.5,0,0,2.985574
GLSE,21,5,9/16/2019,30,0,0,2.084017
GLSE,21,6,11/21/2019,35.2,0,0,1.600506
GLSE,26,1,12/10/2019,20.6,0,0,-0.3305066
GLSE,26,2,2/4/2020,25.7,0,0,3.455922
GLSE,26,3,2/11/2020,29.7,0,0,3.593915
GLSE,26,4,3/3/2020,34.7,0,0,7.902986
GLSE,31,1,1/10/2019,31,0,0,0.429662
GLSE,31,2,1/10/2019,31,0,0,2.458837
GLSE,31,3,1/18/2019,31,0,0,0.3625548
GLSE,31,4,3/29/2019,20.4,0,0,0.2566553
GLSE,31,5,3/26/2019,24.9,0,0,2.897255
GLSE,31,6,4/12/2019,34.7,0,0,1.898074
GLSE,31,7,4/15/2019,38.9,0,0,3.130149
MOCE,21,1,8/14/2019,20.7,0,0,1.39435
MOCE,21,2,8/14/2019,20.7,0,0,4.328442
MOCE,21,3,9/17/2019,20.2,0,0,-0.1411899
MOCE,21,4,10/2/2019,25,0,0,4.706268
MOCE,21,5,10/22/2019,29.4,0,0,5.926864
MOCE,21,6,11/3/2019,33.8,0,0,5.429329
MOCE,26,1,12/10/2019,20.4,0,0,-0.3305066
MOCE,26,2,2/4/2020,26,0,0,3.455922
MOCE,26,3,2/20/2020,30.9,0,0,3.593915
MOCE,26,4,2/20/2020,34,0,0,7.902986
MOCE,31,1,2/20/2019,31,0,0,0.425031
MOCE,31,2,2/22/2019,31,0,0,3.506782
MOCE,31,3,2/22/2019,31,0,0,7.211081
MOCE,31,4,4/24/2019,20.2,0,0,2.689714
MOCE,31,5,3/26/2019,24.9,0,0,0.2420282
MOCE,31,6,4/17/2019,34.5,0,0,0.9669717
MOCE,31,7,4/24/4019,39.6,0,0,5.834851
ROPS,21,1,7/3/2019,20.8,0,0,5.00618
ROPS,21,2,7/5/2019,20.4,0,0,3.3547
ROPS,21,3,7/5/2019,20.4,0,0,4.22887
ROPS,21,4,11/6/2019,25.3,0,0,0.6555588
ROPS,21,5,11/5/2019,30,0,0,2.87596
ROPS,21,6,10/22/2019,33.8,0,0,8.919024
ROPS,26,1,12/5/2019,20.4,0,0,4.482626
ROPS,26,2,1/30/2020,25.2,0,0,4.557889
ROPS,26,3,3/3/2020,30,0,0,1.254754
ROPS,26,4,3/2/2020,34.9,0,0,1.487427
ROPS,31,1,3/4/2018,31,0,0,3.220199
ROPS,31,2,3/9/2018,31,0,0,16.07159
ROPS,31,3,3/14/2018,31,0,0,5.034956
ROPS,31,4,3/18/2019,20.3,0,0,7.386466
ROPS,31,5,3/22/2019,24.7,0,0,1.931683
ROPS,31,6,4/12/2019,34.6,0,0,0.2708204
ROPS,31,7,4/26/2019,39.7,0,0,0.773967
