Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,2/20/2019,31,0,0,0,0
1,2/20/2019,31,241,10,78,1
1,2/20/2019,31,440,10,124,1
1,2/20/2019,31,660,10,166,1
1,2/20/2019,31,823,10,193,2
1,2/20/2019,31,1229,10,238,1
1,2/20/2019,31,1712,20,268,1
1,2/20/2019,31,2480,20,276,3
1,2/20/2019,31,3362,30,274,5
1,2/20/2019,31,3958,30,262,3
2,2/22/2019,31,0,0,0,0
2,2/22/2019,31,263,10,214,1
2,2/22/2019,31,444,10,332,1
2,2/22/2019,31,641,10,429,1
2,2/22/2019,31,817,10,503,1
2,2/22/2019,31,1277,10,621,4
2,2/22/2019,31,1712,20,695,4
2,2/22/2019,31,2494,20,751,4
2,2/22/2019,31,3318,30,766,4
2,2/22/2019,31,4054,30,781,2
3,2/22/2019,31,0,0,0,0
3,2/22/2019,31,248,10,211,1
3,2/22/2019,31,471,10,339,1
3,2/22/2019,31,626,10,418,1
3,2/22/2019,31,835,10,519,1
3,2/22/2019,31,1299,10,643,1
3,2/22/2019,31,1728,20,736,2
3,2/22/2019,31,2501,20,834,2
3,2/22/2019,31,3342,30,838,1
3,2/22/2019,31,4054,30,836,5
4,4/24/2019,20.2,0,0,0,0.2
4,4/24/2019,20.2,231,10,120.6,0.7
4,4/24/2019,20.2,455,10,205.4,0.8
4,4/24/2019,20.2,662,10,268.4,0.8
4,4/24/2019,20.2,827,10,311.4,0.8
4,4/24/2019,20.2,1220,10,387.9,0.9
4,4/24/2019,20.2,1687,20,442.7,3.7
4,4/24/2019,20.2,2389,20,440.9,3.3
4,4/24/2019,20.2,3046,30,439,3.3
4,4/24/2019,20.2,4018,30,444.5,4.2
5,3/26/2019,24.9,0,0,0,0.3
5,3/26/2019,24.9,252,10,47,0.8
5,3/26/2019,24.9,460,10,75.5,0.8
5,3/26/2019,24.9,658,10,100.3,0.8
5,3/26/2019,24.9,861,10,122.3,1
5,3/26/2019,24.9,1247,10,149.5,1
5,3/26/2019,24.9,1696,20,170.4,3.4
5,3/26/2019,24.9,2448,20,186.6,4.3
5,3/26/2019,24.9,3292,30,187.5,4.8
5,3/26/2019,24.9,4036,30,185.7,3.5
6,4/17/2019,34.5,0,0,0,0.2
6,4/17/2019,34.5,241,10,135.3,0.9
6,4/17/2019,34.5,430,10,219.5,0.8
6,4/17/2019,34.5,620,10,290.4,0.9
6,4/17/2019,34.5,827,10,337.2,0.9
6,4/17/2019,34.5,1217,10,449.7,0.9
6,4/17/2019,34.5,1643,20,515,1.8
6,4/17/2019,34.5,2413,20,599.6,3
6,4/17/2019,34.5,3198,30,627.5,3.1
6,4/17/2019,34.5,3964,30,623.5,3.2
7,4/24/4019,39.6,0,0,0,0.3
7,4/24/4019,39.6,258,10,268.3,0.9
7,4/24/4019,39.6,448,10,389,0.8
7,4/24/4019,39.6,627,10,493.6,1
7,4/24/4019,39.6,847,10,616.3,1
7,4/24/4019,39.6,1236,10,780.7,1
7,4/24/4019,39.6,1666,20,888.3,2.6
7,4/24/4019,39.6,2530,20,1061.9,3.4
7,4/24/4019,39.6,3245,30,1171.3,3.4
7,4/24/4019,39.6,4044,30,1161.5,3.5
