X,Tr,Temp,Tau,b,c,d
b1,A21,24.7,-7.72,0,1.3,1
b1,A21,30.5,-1.92,0.161876479,0.231758979,0.286285359
b1,A21,34.9,2.48,0.055105964,0.911444853,0.157091694
b1,A21,40,7.58,0.298411991,1.174152103,0.037231021
b1,A26,25.9,-6.84,0,1.3,1
b1,A26,30.2,-2.54,0.03589587,0.540766682,0.597354816
b1,A26,35.4,2.66,0.002052359,1.480976502,0.838523406
b1,A26,39.6,6.86,0.195585011,3.295991063,0.080817944
b1,A31,28.9,-4.17,0,1.3,1
b1,A31,35.2,2.13,0.025245769,0.901854445,0.257867306
b1,A31,39.9,6.83,0.117601651,3.19359317,0.006177642
b1,M21,25.6,-3.43,0.007767519,1.318099354,0.912849556
b1,M21,30,0.97,0.019327742,0.775621765,0.688522753
b1,M21,34.9,5.87,0.077971649,0.957226903,0.442203007
b1,M21,39.1,10.07,0.918643303,1.084731916,0.028613702
b1,M26,26.1,-6.84,6.952037897,0.36101829,0.370621192
b1,M26,30.6,-2.34,0.01993693,0.90701061,0.544316078
b1,M26,35.4,2.46,2.92E-09,4.130841693,0.98394037
b1,M26,39,6.06,0.821555249,0.733941249,0.222946431
b1,M31,28.6,-8.26,0,1.3,1
b1,M31,34.6,-2.26,7.70E-05,1.911979775,0.831462556
b1,M31,39.2,2.34,0.000662767,1.464459835,0.934094958
b1,G21,25.5,-6.08,0,1.3,1
b1,G21,30.5,-1.08,0.085733687,0.62617265,0.54317855
b1,G21,34.5,2.92,0,1.3,1
b1,G21,39.3,7.72,0.368058839,0.600118718,0.40189133
b1,G26,25.4,-8.26,0,1.3,1
b1,G26,30.4,-3.26,0.057115435,0.731645556,0.466326985
b1,G26,35.2,1.54,0.074466616,0.770385788,0.216520516
b1,G26,39.8,6.14,0.781909013,1.092553841,0.010618182
b1,G31,29,-6.74,0,1.3,1
b1,G31,35.6,-0.14,7.73E-05,1.910838821,0.832093682
b1,G31,39.3,3.56,0.05675516,1.12646995,0.629169482
b1,R21,25.2,-6.69,0.00016685,1.620791641,0.909605584
b1,R21,30.6,-1.29,0.03452527,0.891015957,0.234127926
b1,R21,35,3.11,0.032300398,1.255157307,0.096658568
b1,R21,39.8,7.91,0.040093247,21.14665165,0.002542251
b1,R26,25.7,-6.32,0,1.3,1
b1,R26,29.4,-2.62,0.035188477,0.708049071,0.532671159
b1,R26,35.2,3.18,6.421002076,0.305296046,0.032379399
b1,R26,39.4,7.38,5.33017002,0.456798395,0.013808641
b1,R31,24.2,-7.94,0.012335215,0.837229807,0.937895138
b1,R31,31,-1.14,0.006079769,0.698835733,0.813864194
b1,R31,34.7,2.56,0.105161189,0.863916558,0.237616475
b1,R31,39.5,7.36,0.119065862,1.772071288,0.08779574
