Meas,Treat,Topt,r15,r40
1,M21,29.03233798,0.524435947,0.513931268
2,M26,32.94486802,0.189431137,0.705155781
3,M31,36.85739805,0.002917249,0.908423794
4,A21,32.41642161,0.295824956,0.484431628
5,A26,32.74397848,0.264099415,0.514333815
6,A31,33.07153535,0.231645971,0.544004405
7,G21,31.57928663,0.38040572,0.671797335
8,G26,33.65801482,0.180426241,0.750922643
9,G31,35.73674301,0.033561525,0.842504148
10,R21,31.89386225,0.371326035,0.69287593
11,R26,32.01536072,0.302057299,0.702086115
12,R31,32.13685919,0.186225092,0.708496245
